custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505471,-86.104856,39.913895,761970332,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505472,-86.041685,39.904454,1196493447,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505473,-86.047835,39.889857,1197043072,1,8.0,424.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505474,-86.042523,39.913386,1262232068,1,4.0,212.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505490,-85.995487,40.045173,1278376081,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505491,-86.00399,40.014848,1278330459,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505492,-86.00399,40.014848,1278330459,1,8.0,424.0,2,2,0,1,0,1,0,0,0,A,0,0,1,0
4505493,-86.008449,39.980051,1278249455,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505494,-86.128646,40.020012,1336026827,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505495,-86.03115,39.928359,1278235829,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,0,0,1,0
4505496,-86.031332,39.940109,1278311871,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505497,-86.017006,39.927849,1197912694,2,20.0,1060.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505498,-86.018338,39.929091,1197912696,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505512,-86.010512,40.046117,19490919,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505513,-86.014421,40.042314,1278338050,1,8.0,424.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505514,-86.125588,40.037827,1278293804,1,8.0,424.0,2,4,1,1,0,1,1,0,0,A,0,0,1,0
4505515,-86.036978,40.02731,1278330030,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505516,-86.125961,40.004137,1297545555,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505517,-86.019367,39.931844,1278254532,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505518,-86.019377,39.931888,1278254532,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505519,-86.005222,39.961985,1278396193,1,6.0,318.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505520,-86.077403,39.904268,1196950257,1,2.0,106.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505521,-86.073436,39.90833,1197028936,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505522,-86.099396,39.92726,1197917064,1,8.0,424.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505523,-86.10834,39.912128,761974199,1,18.0,954.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
