custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505572,-86.14057,39.870846,839141156,2,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505590,-85.997183,40.039075,1067424049,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505591,-86.023004,40.04795,1185103845,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505593,-85.996804,39.983703,1220061109,1,2.0,106.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505595,-85.996168,40.003525,1220045467,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505597,-86.043502,39.946026,1220132611,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505598,-86.06512,39.883932,125158546,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505612,-86.008462,39.99296,1278259790,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505613,-86.005267,40.008184,1278303117,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505614,-86.024909,39.938766,1278241475,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505633,-86.012398,40.0471,19490882,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505638,-86.043841,39.945772,1220132610,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505639,-86.044066,39.957427,1278267741,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505640,-86.041158,39.951262,711440938,1,10.0,530.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505659,-85.999025,40.045276,1278375533,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505660,-86.019203,40.05039,1165272614,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505663,-86.036932,39.924514,1296397672,3,24.0,1272.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505665,-86.035956,39.921509,1279101440,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
